uniqid,actual,predicted,correct,domain,confidence,reasoning
705050330,East,East,True,family; political legitimacy,medium,"Strong importance on family, low trust in institutions, limited acceptance of diversity."
70050179,East,East,True,family; political legitimacy,medium,"Family is highly valued, support for democracy and justice is low, high distrust in political institutions."
250050242,West,East,False,family; political legitimacy,high,"High family importance, low tolerance, low political action, limited religious beliefs."
826071151,West,West,True,family; trust,high,"Importance on family, high trust in family, democratic perceptions, critical of political system."
528720115,West,East,False,family; political legitimacy,high,"Family is important, low tolerance for diversity, strong democratic views."
724050841,West,East,False,family; trust,high,"Family is very important, low importance of religion, distrust in institutions and political system."
756052971,West,East,False,family; trust,high,"Low tolerance, high importance of family, limited trust in institutions, moderate political engagement."
703050413,East,West,False,family; political legitimacy,high,"Family important, child qualities include good manners; political legitimacy priorities are freedom and say in decisions."
703050515,East,East,True,family; political legitimacy,medium,"Values family importance, moderate tolerance, low political confidence, religious attendance less frequent."
705050108,East,East,True,family; political legitimacy,high,"Family importance, low child responsibility values, moderate political action, low immigration perception."
703050904,East,East,True,family; political legitimacy; religion,high,"Importance on family, low tolerance, strong religious identity, low political confidence."
528721012,West,West,True,family; political legitimacy,medium,"Family important, acceptance of homosexuals, political engagement, trust in neighbors, moderate religious identification."
300721082,West,West,True,family; trust,medium,"Importance on family, acceptance of diversity, trust in family and neighbourhood."
826071706,West,West,True,family | political legitimacy | trust,high,"Family important, acceptance of some diversity, low institutional confidence, supportive of democracy, trust in family."
300720907,West,East,False,religion; family; political legitimacy,medium,"High importance of family, low trust in institutions, strong religious belief, limited political participation."
826051703,West,East,False,family; political legitimacy,medium,"Family highly valued, low confidence in political institutions, limited acceptance of diverse neighbors."
276720796,West,East,False,family; political legitimacy,high,"Importance of family, low tolerance for diversity, low institutional confidence."
703720812,East,East,True,family; political legitimacy,medium,"Family important, low acceptance of immigrants, low trust in political system, high skepticism towards power."
578050447,West,West,True,family; political legitimacy,high,"Importance of family, lower gender equality beliefs, acceptance of some immigrant impacts, high trust in family."
826070802,West,East,False,family; trust,high,"Family is very important, low tolerance towards differences, trust in people is generally positive."
100051007,East,East,True,family; political legitimacy,medium,"Importance on family, low tolerance for diversity, limited trust in institutions, critical of political system."
705050157,East,East,True,family; political legitimacy,medium,"Family important, low tolerance for diversity, high distrust in institutions, low political satisfaction."
807050433,East,West,False,family; political legitimacy,high,"Family is very important, high democratic values, acceptance of immigrants, low religious engagement."
40051562,West,West,True,family; political legitimacy,high,"Religion is not very important, high trust, acceptance of diverse beliefs, positive democracy perceptions."
528051310,West,East,False,religion | family | political legitimacy | trust,medium,"High importance on family, low tolerance for diversity, strong religious beliefs, moderate trust in institutions."
250051599,West,East,False,family; political legitimacy,high,"Family important, strong beliefs in authority, low tolerance of diversity, low trust in institutions."
352050154,West,East,False,family; political legitimacy,high,Importance on family; low tolerance; preference for maintaining order; limited trust in institutions.
380051217,West,East,False,family; religion,high,"Importance on family and children, strong religious identity, low tolerance for diversity."
246050107,West,West,True,family; political legitimacy,high,"values family and leisure, supports democratic principles, positive towards institutions, low religion importance."
616050332,East,West,False,family; political legitimacy,medium,"Importance of family, low acceptance of diversity, high belief in democracy and civil rights."
31050266,East,East,True,religion | family | political legitimacy,high,"High religion importance, low tolerance for immigrants, low political action, strong family duty beliefs."
250051510,West,West,True,family; political legitimacy,high,"Importance in family and friends, acceptance of immigrants, democracy values, confidence in churches."
804720852,East,East,True,family; political legitimacy,medium,"Importance of family, low tolerance, low institutional confidence, high democracy importance, limited political action."
756051406,West,West,True,religion | political legitimacy | trust,high,"Family is important, acceptance of religious beliefs, high trust in family, belief in democratic processes."
528051314,West,West,True,trust; family; political legitimacy,high,"High importance on family and friends, tolerance for some groups, political legitimacy concerns, religious attendance low."
620051196,West,West,True,family; political legitimacy,medium,"Importance of family, support for democracy, moderate trust in institutions, acceptance of diverse neighbors."
268050619,East,East,True,religion; family,high,"Family important, low trust in institutions, religious identity, negativity towards immigration, strong beliefs."
642050276,East,East,True,family; trust,medium,"Low trust in institutions, low acceptance of immigrants, emphasis on family values, dissatisfaction with political system."
578050424,West,West,True,family; political legitimacy,high,"Importance of family, tolerance of drug addicts, high satisfaction with democracy, low religious attendance."
826070607,West,East,False,family; political legitimacy,high,"Importance on family, low tolerance, low institutional trust, weak political legitimacy perception."
616050330,East,East,True,family; trust; political legitimacy,high,"Importance of family, low tolerance, distrust in institutions, low political satisfaction."
70050453,East,East,True,family; political legitimacy,high,"Family is prioritized, low tolerance for diversity, limited trust in institutions, lower religious attendance."
